release_date,date,value
1990-02-02,1990-01-01,275
1990-03-09,1990-02-01,372
1990-04-06,1990-03-01,26
1990-05-04,1990-04-01,64
1990-06-01,1990-05-01,164
1990-07-06,1990-06-01,40
1990-08-03,1990-07-01,-219
1990-09-07,1990-08-01,-75
1990-10-05,1990-09-01,-101
1990-11-02,1990-10-01,-68
1990-12-07,1990-11-01,-267
1991-01-04,1990-12-01,-76
1991-02-01,1991-01-01,-232
1991-03-08,1991-02-01,-184
1991-04-05,1991-03-01,-206
1991-05-03,1991-04-01,-124
1991-06-07,1991-05-01,59
1991-07-05,1991-06-01,-50
1991-08-02,1991-07-01,-51
1991-09-06,1991-08-01,34
1991-10-04,1991-09-01,24
1991-11-01,1991-10-01,-1
1991-12-06,1991-11-01,-241
1992-01-10,1991-12-01,31
1992-02-07,1992-01-01,-91
1992-03-06,1992-02-01,164
1992-04-03,1992-03-01,19
1992-05-08,1992-04-01,126
1992-06-05,1992-05-01,68
1992-07-02,1992-06-01,-117
1992-08-07,1992-07-01,198
1992-09-04,1992-08-01,-83
1992-10-02,1992-09-01,-57
1992-11-06,1992-10-01,27
1992-12-04,1992-11-01,105
1993-01-08,1992-12-01,64
1993-02-05,1993-01-01,106
1993-03-05,1993-02-01,365
1993-04-02,1993-03-01,-22
1993-05-07,1993-04-01,119
1993-06-04,1993-05-01,209
1993-07-02,1993-06-01,13
1993-08-06,1993-07-01,162
1993-09-03,1993-08-01,-39
1993-10-08,1993-09-01,156
1993-11-05,1993-10-01,177
1993-12-03,1993-11-01,208
1994-01-07,1993-12-01,183
1994-02-04,1994-01-01,62
1994-03-04,1994-02-01,217
1994-04-01,1994-03-01,456
1994-05-06,1994-04-01,267
1994-06-03,1994-05-01,191
1994-07-08,1994-06-01,379
1994-08-05,1994-07-01,259
1994-09-02,1994-08-01,179
1994-10-07,1994-09-01,239
1994-11-04,1994-10-01,194
1994-12-02,1994-11-01,350
1995-01-06,1994-12-01,256
1995-02-03,1995-01-01,134
1995-03-10,1995-02-01,318
1995-04-07,1995-03-01,203
1995-05-05,1995-04-01,-9
1995-06-02,1995-05-01,-101
1995-07-07,1995-06-01,215
1995-08-04,1995-07-01,55
1995-09-01,1995-08-01,249
1995-10-06,1995-09-01,121
1995-11-03,1995-10-01,116
1995-12-08,1995-11-01,166
1996-01-19,1995-12-01,151
1996-02-02,1996-01-01,-201
1996-03-08,1996-02-01,705
1996-04-05,1996-03-01,140
1996-05-03,1996-04-01,2
1996-06-07,1996-05-01,348
1996-07-05,1996-06-01,239
1996-08-02,1996-07-01,193
1996-09-06,1996-08-01,250
1996-10-04,1996-09-01,-40
1996-11-01,1996-10-01,210
1996-12-06,1996-11-01,118
